District,Year,Less -3 ET_Size Age,Less -2 ET_Size Age,Avg RCS (ET)_Size Age,Less -3 ET_Weight Height,Less -2 ET_Weight Height,Less +2 ET_Weight Height,Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age,Less -2 ET_Weight Age,Less  +2 ET_Weight Age,Avg RCS (ET)_Weight Age,Neonatal mortality,Post-neonatal mortality,Child mortality,Juvenile mortality,Child-juvenile mortality 
TAMBACOUNDA,2016,8,26.5,-1.2,1.8,9.5,0.4,-0.7,5,21,0.5,-1.2,2.8,2,4.8,6,10.5
TAMBACOUNDA,2017,8.7,26,-1.3,2.2,10.2,0.4,-0.7,5.7,21.2,0.5,-1.2,2.7,2.2,4.9,3.3,8
TAMBACOUNDA,2018,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9
TAMBACOUNDA,2019,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1
TAMBACOUNDA,2020,,,,,,,,,,,,,,,,
TAMBACOUNDA,2021,,,,,,,,,,,,,,,,
THIES,2015,3,15.6,-0.8,1.2,5.6,1.7,-0.3,2.3,9.3,0.4,-0.7,1.7,1.3,3,1.3,4.2
THIES,2016,3.3,15.8,-0.9,0.8,5.6,1.1,-0.4,1.5,10.1,0.4,-0.8,1.5,1.1,2.6,0.8,3.4
THIES,2017,3.1,12.7,-0.7,1.3,9.9,1.2,-0.7,1.9,11.3,0.4,-0.8,2.4,1.6,4,1.5,5.5
THIES,2018,2.8,12.5,-0.6,1.1,6.3,1.9,-0.5,2.5,10.2,2.2,-0.6,1.9,1.4,3.2,0.7,3.9
THIES,2019,3.2,12.9,-0.8,0.6,5.1,5.2,-0.2,1.1,9,1.3,-0.6,1.9,0.7,2.6,0.5,3.1
THIES,2020,,,,,,,,,,,,,,,,
THIES,2021,,,,,,,,,,,,,,,,
ZIGUINCHOR,2015,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3
ZIGUINCHOR,2016,3.5,17.2,-0.9,0,5.7,1.1,-0.4,1.1,9.5,0.4,-0.8,3.4,1.9,5.3,1.2,6.5
ZIGUINCHOR,2017,4.1,16.3,-0.9,0.3,5.2,1.6,-0.4,1.6,10.2,0.7,-0.8,2.6,1.7,4.3,1.3,5.5
ZIGUINCHOR,2018,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9
ZIGUINCHOR,2019,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1
ZIGUINCHOR,2020,,,,,,,,,,,,,,,,
ZIGUINCHOR,2021,,,,,,,,,,,,,,,,
