District,Year,Lower quintiles HH,Upper quintiles HH,Gini coefficient,Price_imported Maize,Price_imported PB rice,Price_imported FB rice,Price_local Peanut Kernels,Price_local uns. peanut,Price_local Maize,Price_local Millet,Price_local Cowpea,Price_local Sorghum,Producer price_H. rice,Producer price_uns. Peanut,Producer price_Millet,Producer price_Sorghum,Producer price s. peanut,Producer price_Maize,Producer price_Cowpea
LOUGA,2016,29.2,10.4,2.9,231.9672,271.95,375.0909,655.624,244.3027,203.9914,205.705,256.3309,238.9747,256.8707,,,,,,388
LOUGA,2017,22.8,6.8,0.33,207.3318,276.5324,374.6959,604.0487,236.5902,200.4401,239.9815,243.4664,249.1721,256.4389,,,,,,388
LOUGA,2018,23.1,6.1,0.1,188.873,294.3142,368.0338,399.3911,254.1981,200.8935,213.9999,377.9748,256.8396,267.417,,,,,,388
LOUGA,2019,26.1,12.1,0.14,193.9044,303.852,395.6655,413.487,273.3201,211.1383,240.8466,603.6989,262.5,293.7541,,,,,,388
LOUGA,2020,,,,188.6376,330.948,410.8037,552.9811,291.786,208.9244,279.854,423.2897,268.1604,283.9707,,,,,,388
LOUGA,2021,,,,205.9128,332.2694,413.7045,691.0727,332.4746,217.523,280.0225,380.6238,272.3251,292.1309,,,,,,375.5833
MATAM,2015,20.1,8.9,0.32,,,,,,,,,,,,,,,,
MATAM,2016,20.4,2.4,2.7,210.3235,266.411,363.7378,646.5223,357.9843,218.7566,239.8084,532.064,224.4756,264.5963,,,,,250,
MATAM,2017,25.8,1,0.31,231.6137,281.8725,353.6957,622.2512,378.3059,235.4974,269.9695,538.8407,243.4358,269.9618,,,,,250,
MATAM,2018,23.1,6.1,0.1,246.4535,290.1606,370.8987,545.4639,324.9074,266.3804,256.5634,606.9815,297.693,291.4321,,,,,250,
MATAM,2019,26.1,12.1,0.14,248.6576,303.5397,407.3111,565.2351,291.535,274.222,258.1477,623.5639,310.8214,300.9898,,,,,250,
MATAM,2020,,,,258.143,321.0833,469.6202,666.679,375.4034,237.7094,290.1907,757.3515,284.6415,305.7439,,,,,250,
MATAM,2021,,,,257.1484,324.8463,484.8979,674.9011,490.0704,280.1297,283.8851,760.4564,295.0585,306.3213,,,,,250,
SAINT-LOUIS,2015,20.1,8.9,0.32,,,,,,,,,,,,,,,,
SAINT-LOUIS,2016,19.7,9.7,3.2,231.4249,279.1124,401.0764,661.092,326.2126,217.6615,236.8461,534.7473,240.8348,274.7448,,,,,,433
SAINT-LOUIS,2017,20,9.5,0.32,245.6277,288.85,401.0774,654.1376,294.9392,240.7681,265.4717,483.7296,261.4451,293.6436,,,,,,433
SAINT-LOUIS,2018,23.1,6.1,0.1,241.2122,299.9603,401.6493,570.1073,275.2553,238.3699,251.0758,646.477,253.4133,289.9269,,,,,,433
