District,Year,Peanut (tons),Cowpea (tons),Cassava (tons),Millet (tons),Maize (tons),Sorghum (tons),Rice (tons),Sheeps (number of heads),Chickens (number of heads),Assins (number of heads),Cows (number of heads),Goats (number of heads),Lower quintiles HH (%),Upper quintiles HH (%),Gini coefficient,Price_imported Maize (FCFA/kg),Price_imported PB rice (FCFA/kg),Price_imported FB rice (FCFA/kg),Price_local Peanut Kernels (FCFA/kg),Price_local uns. peanut (FCFA/kg),Price_local Maize (FCFA/kg),Price_local Millet (FCFA/kg),Price_local Cowpea (FCFA/kg),Price_local Sorghum (FCFA/kg),Producer price_H. rice (FCFA/kg),Producer price_uns. Peanut (FCFA/kg),Producer price_Millet (FCFA/kg),Producer price_Sorghum (FCFA/kg),Producer price s. peanut (FCFA/kg),Producer price_Maize (FCFA/kg),Producer price_Cowpea (FCFA/kg),Less -3 ET_Size Age (%),Less -2 ET_Size Age (%),Avg RCS (ET)_Size Age (%),Less -3 ET_Weight Height (%),Less -2 ET_Weight Height (%),Less +2 ET_Weight Height (%),Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age (%),Less -2 ET_Weight Age (%),Less  +2 ET_Weight Age (%),Avg RCS (ET)_Weight Age,Neonatal mortality (%),Post-neonatal mortality (%),Child mortality (%),Juvenile mortality (%),Child-juvenile mortality (%),Electricity (%),Time to get water (min),Wealth factor (%),HH heads w/o formal education (%),Literacy rt of hh heads (%),Female head of hh (%),FEI (%),Insecticide use (%),Irrigation use (%),Husbandry (%),Avg hh size (units),Fertilizer Use (%),Herbicide use (%),SMI,VGI,WDI,Precipitation
KAFFRINE,2015,,,,,,,,,,,,,27.8,9.4,0.36,,,,,,,,,,,,,,,,,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1,4.2145,49.6319,1.6834,,,,,,,,,,,9.504889835,7.568288932,482.3726482,597
KAFFRINE,2016,45444.25,122.75,867,17192,7033.25,6388.5,35.5,,,,,,57.7,1.5,4.2,200,266.8932,409.1642,538.0845,244.0072,190.0973,178.5634,452.1363,179.6513,,223.2619,172.1634,190.6146,493.5846,180.1771,400.0417,7.5,23.6,-1.1,1.2,7.8,0.7,-0.6,3.3,17.7,0.3,-1.1,1.5,1.6,3.1,4.4,7.4,9.0291,,1.764,,,,,,,,,,,9.385497654,7.593535461,549.2866388,577
KAFFRINE,2017,53898,161.25,1215.3333,34475,11688.5,15624.75,200,120595.8483,158200.3607,31330.348,88600.6219,150569.2191,62.7,0.8,0.42,200,272.8388,407.3173,530.181,232.7711,186.667,194.5719,426.4141,170.3988,,208.0475,185.6582,196.0765,487.3941,176.6176,391.6213,9.3,25.8,-1.1,2.5,10.6,1,-0.7,4.7,17.7,0.2,-1.1,2.9,1.8,4.7,1.8,6.4,4.8879,60.1231,1.6348,71.6066,31.8471,9.3105,0.216,11.9348,,87.8039,9.0376,95.5667,43.1106,9.46189465,7.65379449,529.1222699,605
KAFFRINE,2018,68142.5,,727.25,51085,16021,19604.5,,182561.7463,388450.1992,43578.2506,120584.3128,213285.668,25.7,7.5,0.27,200,279.2232,386.38,398.9543,225.4021,163.8252,170.4878,501.4888,216.1467,,188.694,163.0348,208.4493,361.3938,156.7593,416.4297,5.5,22.6,-1.1,0.9,6.9,1.3,-0.5,2.5,16,0.5,-1,2.8,1.3,4.1,2.2,6.2,5.0402,79.4531,1.7415,83.62,25.15,5.5302,0.9636,20.1109,11.1553,87.0122,10.93,68.407,11.6345,9.178301224,7.376049175,486.4026804,525
KAFFRINE,2019,272570,1399,2909,204340,64084,78419,289,303585.4711,472599.2237,53686.2679,123420.5769,333869.0148,20.1,9.6,0.2,200,298.0385,438.1944,538.0803,245.2402,182.8721,196.4498,633.6163,217.2605,,209.4646,185.4417,202.5767,503.0761,171.8802,487.5998,5.7,19.6,-1,0.7,7.2,1.3,-0.6,3.1,14.9,0.4,-1,2.6,1.1,3.7,1.2,4.8,6.941,69.0826,1.883,83.32,24.04,15.1431,0.1114,30.8118,59.64,69.393,7.4058,27.8526,29.4039,9.238643387,7.648974838,509.4352263,492
KAFFRINE,2020,320404,2687,6506,229912,70153,96237,562,,,,,,,,,218.5185,312.7786,481.5846,727.0034,267.7955,213.2253,234.8487,610.7086,216.7829,,242.3417,215.8515,202.5377,663.6261,187.0131,550.164,,,,,,,,,,,,,,,,,,,,81.05,44.6,3.1984,0.2954,33.1817,1.7757,85.2358,10.8813,69.6041,9.0056,9.494728412,7.592834401,488.1794092,705
KAFFRINE,2021,341096,3260,6806,217546,81217,99607,259,,,,,,,,,290.8565,326.9621,458.4228,697.7206,294.7019,231.9326,239.3915,519.9239,216.6831,,268.0558,214.3465,206.3638,652.7644,202.5699,425.7272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.288811216,8.600574102,,585
KAOLACK,2015,,,,,,,,,,,,,27.8,9.4,0.36,,,,,,,,,,,,,,,,,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1,8.0931,56.6747,2.5665,,,,,,,,,,,9.226821282,7.57119603,331.8644002,700
KAOLACK,2016,40488,568,19291,49759.6667,15924.6667,5350.6667,1139.8333,,,,,,29.1,8.1,4.3,180.0212,297.632,368.9792,484.444,249.547,185.6355,173.7261,383.4433,223.8269,276.1123,226.5912,164.7359,178.0715,442.5798,176.6349,192.073,4.1,18.5,-1,0.9,6.3,0.7,-0.5,1.5,12.4,0.4,-0.9,2.8,1.4,4.2,2.5,6.6,7.5965,,2.5047,,,,,,,,,,,9.11654415,7.629461385,450.017926,586
KAOLACK,2017,63715.3333,195.3333,23254.3333,52634,23320.6667,3085.3333,1426.3333,85917.7103,122729.7556,18569.8804,104139.3908,92517.0061,21.7,10.1,0.44,176.4274,307.0875,392.4893,498.7083,219.8111,177.5618,195.7908,317.5978,237.197,280.0761,198.7166,185.7312,196.3887,452.7097,166.0308,199.3226,4.9,18.4,-1,1.6,9.9,0.9,-0.7,4.1,17.7,0.7,-1,3.6,1.1,4.7,1.3,6,7.298,64.4498,2.7321,74.7772,33.0227,6.0807,0.723,6.5815,13.8278,65.9346,9.9692,98.101,6.3711,9.227512527,7.556585925,441.183751,649
